GEOID20,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
51153900701,4205,2596,336,1273,0,0,1173,543,1676,181,317,315
51153900702,4273,2798,671,804,0,0,1560,1084,802,197,333,297
51153900801,4714,3017,828,869,0,0,1860,555,1241,256,495,307
51153900803,3219,1988,236,995,0,0,707,483,1509,103,214,203
51153900804,3121,1985,396,740,0,0,981,308,1329,100,196,207
51153900901,2614,1812,254,548,0,0,692,560,1020,70,104,168
51153900904,4714,3171,748,795,0,0,1530,644,1519,244,391,386
51153900905,3599,2280,631,688,0,0,1323,437,1296,117,200,226
51153901005,4181,2447,1181,553,0,0,2511,448,542,177,182,321
51153901009,5188,2896,1565,727,0,0,3362,516,460,158,255,437
51153901010,2979,1646,855,478,0,0,1981,276,276,107,125,214
51153901011,4277,2578,949,750,0,0,2194,563,719,154,352,295
51153901012,2690,1513,819,358,0,0,1843,214,241,97,82,213
51153901013,1824,1184,229,411,0,0,546,304,658,50,139,127
51153901014,2559,1473,628,458,0,0,1261,337,587,103,95,176
51153901015,1864,1227,163,474,0,0,356,301,883,58,98,168
51153901016,2915,1924,316,675,0,0,722,461,935,174,395,228
51153901101,437,275,69,93,0,0,248,44,73,13,10,49
51153901102,358,176,35,147,0,0,219,64,22,8,8,37
51153901203,2310,1500,394,416,0,0,934,659,303,81,184,149
51153901208,2214,1282,608,324,0,0,1372,262,174,72,142,192
51153901209,3895,2425,834,636,0,0,1868,796,388,213,335,295
51153901211,2411,1563,401,447,0,0,985,815,266,140,88,117
51153901212,4749,3097,713,939,0,0,1713,903,998,254,534,347
51153901219,4505,2275,1692,538,0,0,3253,305,121,161,236,429
51153901221,3307,1913,615,779,0,0,1821,455,452,112,205,262
51153901222,1744,988,482,274,0,0,1060,199,155,55,89,186
51153901223,4208,2500,928,780,0,0,2240,693,477,149,276,373
51153901224,2918,1660,846,412,0,0,1724,486,170,120,165,253
51153901225,2915,1760,626,529,0,0,1343,426,445,166,281,254
51153901226,3941,2568,713,660,0,0,1406,650,898,253,473,261
51153901227,3062,1978,529,555,0,0,1184,852,529,136,172,189
51153901228,3877,2459,787,631,0,0,1670,926,548,184,267,282
51153901229,2582,1655,513,414,0,0,1053,520,506,158,195,150
51153901230,2935,1912,590,433,0,0,1201,526,628,124,250,206
51153901231,4742,2490,1586,666,0,0,2995,527,129,344,297,450
51153901232,3972,2117,1151,704,0,0,2440,396,238,269,288,341
51153901233,5191,2664,1933,594,0,0,3805,449,129,163,167,478
51153901234,2437,1150,971,316,0,0,1773,264,64,76,67,193
51153901235,2204,1264,600,340,0,0,1243,186,277,129,179,190
51153901236,4201,2462,976,763,0,0,2239,415,544,247,361,395
51153901237,2089,1271,350,468,0,0,952,316,423,62,128,208
51153901303,3393,1814,1099,480,0,0,2076,417,158,181,226,335
51153901304,1905,825,764,316,0,0,1485,163,13,46,46,152
51153901305,2662,975,1275,412,0,0,2120,181,22,40,81,218
51153901306,4227,1824,1826,577,0,0,3266,334,75,74,115,363
51153901403,4022,2300,624,1098,0,0,2014,767,395,309,218,319
51153901407,1798,1077,260,461,0,0,838,356,203,142,112,147
51153901409,4246,2346,963,937,0,0,2353,526,283,288,318,478
51153901411,4753,2478,1650,625,0,0,2802,378,187,498,417,471
51153901412,4992,2689,1548,755,0,0,2831,515,214,560,407,465
51153901413,2834,1537,890,407,0,0,1775,328,137,161,171,262
51153901414,3396,1857,1101,438,0,0,2149,359,124,233,223,308
