BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_rin,party_lib,party_grn,party_lbl,party_con,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_23,eth2_81,eth2_21,eth2_34,eth2_14,eth2_12,eth2_66,eth2_61,eth2_85,eth2_35,eth2_32,eth2_55,eth2_29,eth2_83,eth2_33,eth2_38,eth2_59,eth2_26,eth2_19,eth2_unk
040139804001,23,9,8,5,0,1,0,0,0,0,0,21,1,0,0,0,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
040139805001,3,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
040139807001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040139809001,21,9,3,9,0,0,0,0,0,0,0,15,4,0,0,0,2,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
040139810001,34,10,13,7,4,0,0,0,0,0,0,31,1,0,0,0,2,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
040070001001,610,366,99,72,59,2,0,0,0,12,0,512,23,0,3,4,68,512,23,0,0,0,1,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,68
040070001002,1015,569,202,128,86,7,0,0,0,23,0,832,55,0,10,12,106,832,55,0,4,4,1,2,1,0,0,4,0,0,0,0,0,3,0,1,0,2,0,0,0,106
040070001003,354,204,73,40,27,2,0,0,0,8,0,281,20,0,2,0,51,281,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
040070001004,398,239,80,46,21,4,0,0,0,8,0,325,19,0,2,7,45,325,19,0,1,1,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,45
040070002001,371,210,72,56,27,3,0,0,0,3,0,305,13,0,8,3,42,305,11,0,0,0,1,0,0,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,42
040070002002,534,330,74,64,43,6,1,0,0,16,0,448,33,0,5,6,42,448,29,0,0,2,1,0,0,0,0,0,4,1,2,1,0,0,0,0,0,2,0,0,2,42
040070002003,802,436,129,116,83,13,0,0,0,25,0,658,68,0,6,5,65,658,67,0,1,1,1,1,2,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,65
040070003011,2296,1370,363,292,215,10,2,0,0,44,0,1894,126,1,30,35,210,1894,122,1,5,11,5,0,9,7,2,2,4,5,2,5,0,3,4,1,0,0,1,0,0,210
040070003012,633,356,98,110,52,5,0,0,0,12,0,518,49,0,1,8,57,518,48,0,4,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,57
040070003013,1254,648,219,232,118,8,0,0,0,29,0,1016,91,0,14,11,122,1016,88,0,1,3,4,1,3,3,2,2,3,1,2,0,1,0,1,0,0,0,1,0,0,122
040070003021,452,293,50,60,38,1,0,0,0,10,0,386,19,0,2,10,35,386,19,0,0,2,0,0,0,5,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,35
040070003022,1377,770,227,211,123,10,0,0,0,36,0,1148,89,0,6,11,123,1148,89,0,0,3,1,0,1,3,0,1,0,0,2,1,0,1,0,0,1,0,2,0,0,123
040070003023,253,126,53,48,21,3,0,0,0,2,0,204,19,0,0,2,28,204,19,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
040070004001,609,316,129,98,43,4,0,0,0,19,0,495,44,1,2,6,61,495,44,1,0,0,2,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,61
040070004002,929,523,172,113,88,9,0,0,0,24,0,765,67,0,3,10,84,765,66,0,4,2,1,2,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,84
040070004003,2481,1583,360,286,208,8,1,0,0,35,0,2095,118,0,14,22,232,2095,118,0,6,4,3,0,1,4,1,4,0,2,0,3,0,2,0,2,2,1,0,1,0,232
040070005001,1794,1029,286,264,160,17,0,0,0,38,0,1445,127,0,15,23,184,1445,126,0,12,5,5,2,1,4,2,0,1,2,0,0,1,0,0,1,0,1,0,1,0,184
040070005002,2068,1180,330,318,189,13,1,0,0,37,0,1730,118,2,22,24,172,1730,117,2,8,3,8,3,2,5,3,5,1,1,0,4,0,0,0,0,0,2,0,1,0,172
