BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_rin,party_lib,party_grn,party_wfp,party_ind,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_23,eth2_10,eth2_34,eth2_66,eth2_21,eth2_14,eth2_55,eth2_35,eth2_12,eth2_61,eth2_85,eth2_29,eth2_33,eth2_32,eth2_57,eth2_38,eth2_59,eth2_unk
090076001002,927,352,351,213,9,2,0,0,0,0,0,756,25,6,7,16,117,756,24,6,1,2,2,10,1,0,2,3,0,1,2,0,0,0,0,0,0,0,117
090076001003,603,251,214,125,11,2,0,0,0,0,0,507,12,0,3,13,68,507,12,0,5,0,0,6,0,1,1,1,0,1,1,0,0,0,0,0,0,0,68
090076001004,542,213,201,116,11,1,0,0,0,0,0,459,9,1,2,13,58,459,9,1,2,0,0,6,0,1,1,5,0,0,0,0,0,0,0,0,0,0,58
090076101001,651,299,186,146,17,1,2,0,0,0,0,529,44,1,13,5,59,529,44,1,0,0,1,3,0,6,1,0,1,0,0,0,0,1,0,0,0,0,59
090076101002,1015,420,335,233,21,0,6,0,0,0,0,837,42,4,7,18,107,837,42,4,1,1,2,9,0,1,0,3,0,3,2,0,1,1,0,0,1,0,107
090076102001,591,249,183,145,14,0,0,0,0,0,0,456,35,3,6,17,74,456,33,3,8,2,0,3,2,0,0,0,0,3,3,2,0,0,1,0,0,0,74
090076102002,772,315,273,170,11,0,3,0,0,0,0,604,17,0,14,8,129,604,14,0,3,8,5,3,3,0,1,0,2,0,0,0,0,0,0,0,0,0,129
090076102003,639,264,206,152,13,2,2,0,0,0,0,497,43,0,12,9,78,497,42,0,2,4,3,4,1,3,0,2,0,2,0,0,0,0,0,0,0,0,78
090076102004,759,350,200,184,21,2,2,0,0,0,0,602,46,1,16,4,90,602,43,1,0,4,6,2,3,2,0,0,0,1,1,0,0,1,0,0,0,0,90
090076103001,940,380,332,213,11,2,2,0,0,0,0,771,41,0,12,13,103,771,39,0,1,4,3,2,2,5,0,1,0,0,0,1,2,0,0,0,3,3,103
090076103002,951,444,310,185,12,0,0,0,0,0,0,740,77,1,13,24,96,740,75,0,13,3,6,5,2,1,1,2,2,1,0,0,2,0,0,0,0,0,96
090076103003,1346,579,329,410,22,4,2,0,0,0,0,1110,40,2,29,16,149,1110,39,2,4,3,10,5,1,10,2,2,2,2,2,1,0,0,0,0,0,0,149
090076104001,990,458,287,235,8,1,1,0,0,0,0,793,51,0,17,15,114,793,48,0,4,5,2,4,3,7,1,4,3,2,0,0,0,0,0,0,0,0,114
090076104002,1611,709,410,461,30,1,0,0,0,0,0,1333,74,3,13,32,156,1333,72,3,9,0,5,15,2,2,0,2,1,6,0,1,0,0,0,0,3,1,156
090076201001,970,434,343,174,15,2,2,0,0,0,0,819,36,5,4,9,97,819,35,5,1,0,3,3,1,0,1,2,0,0,0,3,0,0,0,0,0,0,97
090076201002,587,266,167,147,5,1,1,0,0,0,0,508,21,0,7,5,46,508,18,0,0,0,1,3,3,4,1,1,0,1,0,0,0,1,0,0,0,0,46
090076201003,517,250,149,110,8,0,0,0,0,0,0,423,17,0,6,8,63,423,17,0,4,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,63
090076201004,973,420,378,159,14,0,1,1,0,0,0,803,28,8,7,13,114,803,24,8,4,4,1,2,4,0,1,1,1,1,0,2,0,0,0,0,2,1,114
090076201005,541,232,166,129,14,0,0,0,0,0,0,454,16,1,6,4,60,454,16,1,0,0,4,2,0,0,1,0,0,1,2,0,0,0,0,0,0,0,60
090076301011,566,206,195,158,7,0,0,0,0,0,0,470,17,0,14,4,61,470,17,0,2,5,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,61
090076301012,1381,501,519,344,11,5,1,0,0,0,0,1194,48,0,9,20,110,1194,43,0,3,6,2,12,5,0,0,1,3,0,0,0,0,0,0,0,0,0,110
090076301013,790,330,276,173,9,1,1,0,0,0,0,664,20,0,6,11,89,664,17,0,5,1,3,5,3,0,1,1,0,1,0,0,0,0,0,0,0,0,89
090076301014,495,189,190,104,10,0,2,0,0,0,0,413,18,0,4,7,53,413,18,0,0,0,2,3,0,0,0,1,2,2,0,1,0,0,0,0,0,0,53
090076301021,884,323,293,255,13,0,0,0,0,0,0,754,26,0,9,18,77,754,25,0,4,3,0,6,1,1,3,5,0,2,0,0,0,1,0,0,1,0,77
090076301022,706,234,266,198,8,0,0,0,0,0,0,576,23,1,4,16,86,576,23,1,7,1,1,7,0,0,1,0,0,1,0,0,0,0,0,0,1,1,86
090076301023,695,224,293,163,10,3,2,0,0,0,0,569,23,0,6,16,81,569,23,0,6,1,4,2,0,0,0,1,1,0,2,2,0,0,2,0,0,0,81
090076401001,1257,527,331,378,20,1,0,0,0,0,0,1046,42,1,9,20,139,1046,41,1,7,2,2,6,1,1,2,0,0,2,0,0,0,0,0,1,3,0,139
090076401002,646,293,189,157,6,1,0,0,0,0,0,521,18,0,4,11,92,521,17,0,1,1,2,5,1,0,0,2,0,1,0,0,0,2,0,0,0,0,92
090076401003,1622,687,460,444,28,2,1,0,0,0,0,1362,48,2,21,25,164,1362,44,2,5,10,7,11,4,1,2,3,0,0,4,0,0,0,1,0,0,1,164
090076401004,1592,700,402,469,16,4,0,1,0,0,0,1313,41,1,9,31,197,1313,41,1,6,1,6,14,0,0,1,5,1,1,1,0,3,0,0,0,1,0,197
090076701001,1005,379,334,276,16,0,0,0,0,0,0,829,29,2,19,20,106,829,26,2,8,11,2,5,3,1,1,2,1,1,2,2,0,0,0,0,0,0,106
090076701002,1129,486,318,304,20,1,0,0,0,0,0,919,47,0,33,23,107,919,44,0,4,12,3,3,3,7,4,8,1,0,0,0,0,0,0,0,5,0,107
090076701003,1046,431,293,294,24,3,1,0,0,0,0,854,36,1,29,23,103,854,35,1,4,14,7,6,1,3,0,3,0,3,1,2,0,0,4,0,0,1,103
090076701004,743,293,198,236,14,0,2,0,0,0,0,602,30,7,13,8,83,602,28,7,0,1,8,5,2,1,3,1,1,0,0,0,0,0,0,0,0,1,83
090076702001,1455,526,464,435,29,1,0,0,0,0,0,1225,40,2,10,19,159,1225,37,2,2,0,3,8,3,1,2,5,0,0,0,1,0,0,3,0,0,0,159
090076702002,1423,575,453,369,23,2,1,0,0,0,0,1186,40,1,20,34,142,1186,38,1,6,2,2,14,2,1,2,2,3,1,4,2,1,1,1,0,0,0,142
090076702003,1414,563,400,431,19,1,0,0,0,0,0,1165,52,9,5,25,158,1165,51,9,8,3,1,8,1,0,1,0,1,0,0,1,0,1,2,0,1,2,158
090076702004,744,332,239,161,11,0,1,0,0,0,0,597,15,2,34,22,74,597,13,2,15,8,5,3,2,3,2,2,0,2,0,1,0,0,0,0,0,1,74
090076801011,972,429,258,267,17,1,0,0,0,0,0,812,26,0,8,9,117,812,23,0,3,0,1,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,117
090076801012,1383,581,375,398,28,1,0,0,0,0,0,1108,61,5,22,29,158,1108,59,5,10,10,3,9,2,3,3,1,0,1,0,3,0,1,0,0,2,2,158
090076801021,1121,494,289,315,22,1,0,0,0,0,0,933,29,1,7,15,136,933,26,1,0,2,4,8,3,1,0,3,0,0,1,0,0,0,0,1,1,1,136
090076801022,745,318,194,222,8,2,1,0,0,0,0,584,36,1,8,9,107,584,36,1,5,1,1,0,0,2,4,0,0,0,1,0,2,1,0,0,0,0,107
090076801023,912,429,242,218,21,1,1,0,0,0,0,713,42,8,17,24,108,713,38,8,12,6,6,6,4,2,1,0,0,0,3,1,0,0,0,0,2,0,108
